Datetime,SVD_O2A,SVD_O2B,SVD_O2A_PSII,NIR_v_O2A,NIR_v_O2B,NDVI,fPAR,fesc,Temperature_dataset0,rH,VPD,vwc,Rn,PAR_dataset0,Ca,GPP_dataset0
2021-05-25 08:00:00,0.0153989484824474,0.00759958033552152,0,0.283694646710562,0.025362274059233,0.865959069415942,0.637144496187854,0.385576511660443,16.4187,88.1832,-162.786940097065,17.2,66.0963,223.0155,460.848,11.675925434748
2021-05-25 08:30:00,0.0178906406328239,0.00826842553499165,0,0.283503612779562,0.0256397076822356,0.864741600473745,0.635655614199945,0.385676398317742,17.1654,82.7146,-159.981905806962,17.2,84.0335,260.66985,459.969,9.22438257548809
2021-05-25 09:00:00,0.0280516615621954,0.0107468491058207,0,0.282736475292531,0.0256053900676095,0.864609390968922,0.635536239317249,0.384646219340681,17.4823,84.4299,-166.645087971887,17.2,133.0607,384.43275,459.107,18.5745196662772
2021-05-25 09:30:00,0.0329906482740193,0.013272865794356,0,0.281474012935244,0.025581021863873,0.863953447554374,0.634567785683536,0.383222170048268,18.4905,79.8655,-167.838556211585,17.2,172.4088,474.18165,441.942,20.1668718948094
2021-05-25 10:00:00,0.0398009360646125,0.020979727642977,0,0.280669282466442,0.0257443461442624,0.863169120255868,0.632326593088957,0.383132799216815,19.4825,73.2447,-163.565270702043,17.2,235.3769,609.90885,437.442,30.1261436686332
2021-05-25 10:30:00,0.0410811781088053,0.0189391726779525,0,0.279516271095077,0.0257798045845626,0.86195824541585,0.6311169043374,0.381753923785711,19.8472,73.0684,-166.901483954894,17.2,218.2837,572.14545,433.308,24.863382439533
2021-05-25 11:00:00,0.0379425389497075,0.0137075645418296,0,0.279307057963168,0.0258282593275779,0.861565035238618,0.629994244827323,0.381973640572525,20.5107,71.1474,-169.254300455247,17.2,205.0547,543.888,429.317,24.5182376860173
2021-05-25 11:30:00,0.0432268938938083,0.0165712122993987,0,0.278982768335773,0.0259567481507136,0.860849141299948,0.629122637121797,0.381741273304139,20.7661,68.5153,-165.48650331773,17.2,232.6865,603.9804,432.367,26.1418465953102
2021-05-25 12:00:00,0.0486176733825303,0.020272559888706,0,0.279921671723403,0.0262364875690494,0.859438861242014,0.627459271575822,0.383412236747627,21.0603,65.0506,-159.85897616927,17.2,248.7891,635.0295,434.273,26.7247628674523
2021-05-25 12:30:00,0.0668736359426037,0.0281179583876529,0,0.277594200752496,0.0266759802444495,0.856165175675151,0.622486040779914,0.381802116166157,21.8022,59.719,-153.361992387626,17.2,385.414,925.03395,430.246,33.9668172407247
2021-05-25 13:00:00,0.06242133076356,0.0254566979224104,0,0.27659485044875,0.0266397199115408,0.85580996725103,0.621252264043648,0.38102497746023,22.4248,53.8502,-143.3679708433,17.2,366.6506,899.8908,429.217,33.3173281600234
2021-05-25 13:30:00,0.0491414621603163,0.0212537971673061,0,0.276748150620297,0.0261468167962618,0.858384629922922,0.625099199754189,0.380029855974016,22.6865,53.7922,-145.503391512913,17.2,288.5371,741.6459,419.614,29.6684006825282
2021-05-25 14:00:00,0.0380294527767066,0.0167015994174351,0,0.278215014924566,0.0260530489605335,0.859683462930797,0.627012248826954,0.381454824713805,22.4458,53.0541,-141.388625793196,17.2,201.0981,540.5043,419.426,25.0233012295511
2021-05-25 14:30:00,0.032593703167796,0.0149791814032675,0,0.278739859088138,0.0261501002058785,0.85950262695335,0.626468330450364,0.382425781923614,22.6203,54.2169,-146.086253045436,17.2,167.3792,459.59205,418.261,20.9061243766893
2021-05-25 15:00:00,0.0337854863552159,0.016454113201758,0,0.279460392826499,0.026247909394388,0.859525043205204,0.626419412141389,0.383454282486577,22.5148,55.4516,-148.521704286958,17.2,166.7249,456.50895,417.496,20.1780453971141
2021-05-25 15:30:00,0.0328319415991819,0.0152576578222255,0,0.280125283474554,0.026265169855051,0.85973937591943,0.626782250569485,0.384239879439545,22.7745,55.9466,-152.251139896668,17.2,166.184,450.84825,415.651,20.5020476220459
2021-05-25 16:00:00,0.0299939730700147,0.0146639852347318,0,0.279411852504874,0.0261759083604589,0.859959966007243,0.626716593158784,0.383399785174086,22.2999,59.5266,-157.565742057736,17.2,157.3444,420.417,415.263,18.5609174544549
2021-05-25 16:30:00,0.0262873272892524,0.0102602591816237,0,0.279172479110314,0.0261450733631357,0.859809759008024,0.626539706106578,0.383112546014251,22.0621,61.0496,-159.342861028264,17.2,130.4213,369.76665,414.128,16.7846958363535
2021-05-25 17:00:00,0.0185786407405956,0.00871969525353953,0,0.27905829322005,0.0263699156291159,0.858160042708887,0.625052518000784,0.383130488929071,21.7291,63.179,-161.675531086326,17.2,88.7409,267.01155,414.851,13.6546828887373
2021-05-25 17:30:00,0.0156554378842843,0.00641744906218343,0,0.280733632557189,0.0260491405556547,0.86089708361753,0.628408077656498,0.384595256068539,21.2135,65.228,-161.815717855276,17.2,73.4617,227.1321,416.235,12.0863584999957
2021-05-25 18:00:00,0.0134208520992458,0.00496214281508294,0,0.280988190353679,0.0261684772797864,0.861225001890857,0.62741819970407,0.3856981752885,20.6456,68.9322,-165.277688104125,17.2,63.9871,201.6612,417.619,10.5180341112541
